rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"ApexSharingViolations","pmd","2",,"force-app/main/default/classes/Demo.cls",8,0,8,0,"Apex classes should declare a sharing model if DML or SOQL/SOSL is used",,"Shyamk-16028","Shyamk-16028",8,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo.cls",10,0,10,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",10,"Backup_Branch1"
"AvoidDebugStatements","pmd","2",,"force-app/main/default/classes/Demo.cls",12,0,12,0,"Avoid debug statements since they impact on performance",,"Shyamk-16028","Shyamk-16028",12,"Backup_Branch1"
"DebugsShouldUseLoggingLevel","pmd","4",,"force-app/main/default/classes/Demo.cls",12,0,12,0,"Calls to System.debug should specify a logging level.",,"Shyamk-16028","Shyamk-16028",12,"Backup_Branch1"
"EmptyIfStmt","pmd","4",,"force-app/main/default/classes/Demo.cls",16,0,16,0,"Avoid empty if statements",,"Shyamk-16028","Shyamk-16028",16,"Backup_Branch1"
"EmptyStatementBlock","pmd","4",,"force-app/main/default/classes/Demo.cls",16,0,16,0,"Avoid empty block statements.",,"Shyamk-16028","Shyamk-16028",16,"Backup_Branch1"
"ApexCRUDViolation","pmd","2",,"force-app/main/default/classes/Demo.cls",23,0,23,0,"Validate CRUD permission before SOQL/DML operation or enforce user mode",,"Shyamk-16028","Shyamk-16028",23,"Backup_Branch1"
"ApexSharingViolations","pmd","2",,"force-app/main/default/classes/Demo1.cls",8,0,8,0,"Apex classes should declare a sharing model if DML or SOQL/SOSL is used",,"Shyamk-16028","Shyamk-16028",8,"Backup_Branch1"
"ExcessiveParameterList","pmd","3",,"force-app/main/default/classes/Demo1.cls",11,0,11,0,"Avoid long parameter lists.",,"Shyamk-16028","Shyamk-16028",11,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo1.cls",11,0,11,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",11,"Backup_Branch1"
"OperationWithLimitsInLoop","pmd","1",,"force-app/main/default/classes/Demo1.cls",19,0,19,0,"Avoid operations in loops that may hit governor limits",,"Shyamk-16028","Shyamk-16028",19,"Backup_Branch1"
"ApexCRUDViolation","pmd","2",,"force-app/main/default/classes/Demo1.cls",19,0,19,0,"Validate CRUD permission before SOQL/DML operation or enforce user mode",,"Shyamk-16028","Shyamk-16028",19,"Backup_Branch1"
"ApexSOQLInjection","pmd","2",,"force-app/main/default/classes/Demo1.cls",24,0,24,0,"Avoid untrusted/unescaped variables in DML query",,"Shyamk-16028","Shyamk-16028",24,"Backup_Branch1"
"ApexCRUDViolation","pmd","2",,"force-app/main/default/classes/Demo1.cls",27,0,27,0,"Validate CRUD permission before SOQL/DML operation or enforce user mode",,"Shyamk-16028","Shyamk-16028",27,"Backup_Branch1"
