rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"AvoidDebugStatements","pmd","2",,"temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",10,0,10,0,"Avoid debug statements since they impact on performance",,"Bhavana02012003","Bhavana02012003",54,"Backup_Cloned_Branch"
"DebugsShouldUseLoggingLevel","pmd","4",,"temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",10,0,10,0,"Calls to System.debug should specify a logging level.",,"Bhavana02012003","Bhavana02012003",54,"Backup_Cloned_Branch"
"AvoidDebugStatements","pmd","2",,"temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",11,0,11,0,"Avoid debug statements since they impact on performance",,"Bhavana02012003","Bhavana02012003",65,"Backup_Cloned_Branch"
"DebugsShouldUseLoggingLevel","pmd","4",,"temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",11,0,11,0,"Calls to System.debug should specify a logging level.",,"Bhavana02012003","Bhavana02012003",65,"Backup_Cloned_Branch"
"AvoidDebugStatements","pmd","2",,"temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",12,0,12,0,"Avoid debug statements since they impact on performance",,"Bhavana02012003","Bhavana02012003",70,"Backup_Cloned_Branch"
"DebugsShouldUseLoggingLevel","pmd","4",,"temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",12,0,12,0,"Calls to System.debug should specify a logging level.",,"Bhavana02012003","Bhavana02012003",70,"Backup_Cloned_Branch"
"ApexUnitTestClassShouldHaveRunAs","pmd","3",,"force-app/main/default/classes/DummyActionTest.cls",12,0,12,0,"Apex unit test classes should have at least one System.runAs() call",,"Bhavana02012003","Bhavana02012003",12,"Backup_Cloned_Branch"
"ApexUnitTestClassShouldHaveAsserts","pmd","2",,"force-app/main/default/classes/DummyActionTest.cls",12,0,12,0,"Apex unit tests should System.assert() or assertEquals() or assertNotEquals()",,"Bhavana02012003","Bhavana02012003",12,"Backup_Cloned_Branch"
"AvoidDebugStatements","pmd","2",,"force-app/main/default/classes/DummyActionTest.cls",14,0,14,0,"Avoid debug statements since they impact on performance",,"Bhavana02012003","Bhavana02012003",14,"Backup_Cloned_Branch"
"DebugsShouldUseLoggingLevel","pmd","4",,"force-app/main/default/classes/DummyActionTest.cls",14,0,14,0,"Calls to System.debug should specify a logging level.",,"Bhavana02012003","Bhavana02012003",14,"Backup_Cloned_Branch"
"UnusedLocalVariable","pmd","3",,"force-app/main/default/classes/DummyActionTest.cls",18,0,18,0,"Variable 'c' defined but not used",,"Bhavana02012003","Bhavana02012003",18,"Backup_Cloned_Branch"
