rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"sort-imports",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",2,0,2,0,"Imports should be sorted alphabetically.",,"Shyamk-16028","Shyamk-16028",2,"Backup_Branch"
"multiline-comment-style",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",21,0,21,0,"Expected a block comment instead of consecutive line comments.",,"Shyamk-16028","Shyamk-16028",21,"Backup_Branch"
"capitalized-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",22,0,22,0,"Comments should not begin with a lowercase character.",,"Shyamk-16028","Shyamk-16028",22,"Backup_Branch"
"no-magic-numbers",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",23,0,23,0,"No magic number: 1.",,"Shyamk-16028","Shyamk-16028",23,"Backup_Branch"
"no-magic-numbers",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",23,0,23,0,"No magic number: 1.",,"Shyamk-16028","Shyamk-16028",23,"Backup_Branch"
"capitalized-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",1,0,1,0,"Comments should not begin with a lowercase character.",,"Shyamk-16028","Shyamk-16028",1,"Backup_Branch"
"no-unused-vars",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",3,0,3,0,"'ShowToastEvent' is defined but never used.",,"Shyamk-16028","Shyamk-16028",3,"Backup_Branch"
"sort-imports",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",4,0,4,0,"Expected 'multiple' syntax before 'single' syntax.",,"Shyamk-16028","Shyamk-16028",4,"Backup_Branch"
"no-unused-vars",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",5,0,5,0,"'getAccounts' is defined but never used.",,"Shyamk-16028","Shyamk-16028",5,"Backup_Branch"
"capitalized-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",10,0,10,0,"Comments should not begin with a lowercase character.",,"Shyamk-16028","Shyamk-16028",10,"Backup_Branch"
"capitalized-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",12,0,12,0,"Comments should not begin with a lowercase character.",,"Shyamk-16028","Shyamk-16028",12,"Backup_Branch"
"prefer-const",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",13,0,13,0,"'testVar' is never reassigned. Use 'const' instead.",,"Shyamk-16028","Shyamk-16028",13,"Backup_Branch"
"@lwc/lwc/no-api-reassignments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",16,0,16,0,"Invalid reassignment of public property ""recordId""",,"Shyamk-16028","Shyamk-16028",16,"Backup_Branch"
