rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"no-console",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_demo_demo.js",7,0,7,0,"Unexpected console statement.",,"Bhavana02012003","Bhavana02012003",7,"Backup_Cloned_Branch"
"line-comment-position",eslint,"4",,"temp_scanner_files/temp_force-app_main_default_lwc_demo_demo.js",7,0,7,0,"Expected comment to be above code.",,"Bhavana02012003","Bhavana02012003",7,"Backup_Cloned_Branch"
"no-inline-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_demo_demo.js",7,0,7,0,"Unexpected comment inline with code.",,"Bhavana02012003","Bhavana02012003",7,"Backup_Cloned_Branch"
"sort-imports",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",2,0,2,0,"Imports should be sorted alphabetically.",,"Bhavana02012003","Bhavana02012003",2,"Backup_Cloned_Branch"
"multiline-comment-style",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",21,0,21,0,"Expected a block comment instead of consecutive line comments.",,"Bhavana02012003","Bhavana02012003",21,"Backup_Cloned_Branch"
"capitalized-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",22,0,22,0,"Comments should not begin with a lowercase character.",,"Bhavana02012003","Bhavana02012003",22,"Backup_Cloned_Branch"
"no-magic-numbers",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",23,0,23,0,"No magic number: 1.",,"Bhavana02012003","Bhavana02012003",23,"Backup_Cloned_Branch"
"no-magic-numbers",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",23,0,23,0,"No magic number: 1.",,"Bhavana02012003","Bhavana02012003",23,"Backup_Cloned_Branch"
"capitalized-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",1,0,1,0,"Comments should not begin with a lowercase character.",,"Bhavana02012003","Bhavana02012003",1,"Backup_Cloned_Branch"
"no-unused-vars",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",3,0,3,0,"'ShowToastEvent' is defined but never used.",,"Bhavana02012003","Bhavana02012003",3,"Backup_Cloned_Branch"
"sort-imports",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",4,0,4,0,"Expected 'multiple' syntax before 'single' syntax.",,"Bhavana02012003","Bhavana02012003",4,"Backup_Cloned_Branch"
"no-unused-vars",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",5,0,5,0,"'getAccounts' is defined but never used.",,"Bhavana02012003","Bhavana02012003",5,"Backup_Cloned_Branch"
"capitalized-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",10,0,10,0,"Comments should not begin with a lowercase character.",,"Bhavana02012003","Bhavana02012003",10,"Backup_Cloned_Branch"
"capitalized-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",12,0,12,0,"Comments should not begin with a lowercase character.",,"Bhavana02012003","Bhavana02012003",12,"Backup_Cloned_Branch"
"prefer-const",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",13,0,13,0,"'testVar' is never reassigned. Use 'const' instead.",,"Bhavana02012003","Bhavana02012003",13,"Backup_Cloned_Branch"
"@lwc/lwc/no-api-reassignments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",16,0,16,0,"Invalid reassignment of public property ""recordId""",,"Bhavana02012003","Bhavana02012003",16,"Backup_Cloned_Branch"
